10000,"东部王国",,"Eastern Kingdoms",,
10001,"卡利姆多",,"Kalimdor",,
10008,"外域",,"Outland",,
10010,"诺森德",,"Northrend",,
10011,"大漩涡",,"The Maelstrom",,
10012,"潘达利亚",,"Pandaria",,
10002,"团队与地下城",,"Dungeons and Raids",,
5736,"迷踪岛",10012,"The Wandering Isle",,
5785,"翡翠林",10012,"The Jade Forest","85-86","23-25"
5805,"四风谷",10012,"Valley of the Four Winds","86-87","23-25"
5840,"锦绣谷",10012,"Vale of Eternal Blossoms",90,
5841,"昆莱山",10012,"Kun-Lai Summit","87-88","23-25"
5842,"螳螂高原",10012,"Townlong Steppes","88-89","24-25"
6006,"雾纱栈道",10012,"The Veiled Stair",,"23-25"
6134,"卡桑琅丛林",10012,"Krasarang Wilds","89-90","24-25"
6138,"恐惧废土",10012,"Dread Wastes","89-90","24-25"
6141,"双月殿",10012,"Shrine of Two Moons",,1
6142,"七星殿",10012,"Shrine of Seven Stars",,1
4720,"失落群岛",10011,"The Lost Isles",12,
4737,"科赞",10011,"Kezan","1-5",
5042,"深岩之洲",10011,"Deepholm","82-83","22-23"
5095,"托尔巴拉德",10011,"Tol Barad","84-85","23-24"
5389,"托尔巴拉德半岛",10011,"Tol Barad Peninsula",85,"23-24"
5416,"大漩涡",10011,"The Maelstrom",,
5630,"大漩涡",10011,"The Maelstrom",,
65,"龙骨荒野",10010,"Dragonblight","71-75","22-23"
66,"祖达克",10010,"Zul'Drak","74-76","22-23"
67,"风暴峭壁",10010,"The Storm Peaks","77-80","22-23"
210,"冰冠冰川",10010,"Icecrown","77-80","22-23"
394,"灰熊丘陵",10010,"Grizzly Hills","73-75","21-22"
495,"嚎风峡湾",10010,"Howling Fjord","68-72","22-23"
2817,"晶歌森林",10010,"Crystalsong Forest","77-80","22-23"
3537,"北风苔原",10010,"Borean Tundra","68-72","20-22"
3711,"索拉查盆地",10010,"Sholazar Basin","76-78","21-22"
4197,"冬拥湖",10010,"Wintergrasp","77-80",
4395,"达拉然",10010,"Dalaran",,
4742,"洛斯加尔登陆点",10010,"Hrothgar's Landing","77-80",
3430,"永歌森林",10008,"Eversong Woods","1-10","1-2"
3433,"幽魂之地",10008,"Ghostlands","10-20","3-6"
3483,"地狱火半岛",10008,"Hellfire Peninsula","58-63","17-18"
3487,"银月城",10008,"Silvermoon City",,1
3518,"纳格兰",10008,"Nagrand","64-67","18-19"
3519,"泰罗卡森林",10008,"Terokkar Forest","62-65","18-19"
3520,"影月谷",10008,"Shadowmoon Valley","67-70","20-21"
3521,"赞加沼泽",10008,"Zangarmarsh","60-64","18-19"
